"SapPath","count_"
"Azure/Business To Consumer (B2C) Tenants/Problem with directory or tenant management and user management/Audit logs and reporting","1"
"Azure/Business To Consumer (B2C) Tenants/Problem with directory or tenant management and user management/Creating, deleting, or linking a directory to a subscription","1"
"Azure/Business To Consumer (B2C) Tenants/Problem with directory or tenant management and user management/Region availability and data residency","2"
"Azure/Business To Consumer (B2C) Tenants/Troubleshooting Custom Polices (Identity Experience Framework)/Identity providers","1"
"Azure/Business To Consumer (B2C) Tenants/Troubleshooting Custom Polices (Identity Experience Framework)/Other issues","3"
"Azure/Business To Consumer (B2C) Tenants/Troubleshooting User Flow/Security","1"
"Azure/Business To Consumer (B2C) Tenants/Troubleshooting User Flow/Tokens and Sessions","1"
"Azure/Customer Lockbox for Microsoft Azure/I would like a test Customer Lockbox request from Microsoft","2"
"Azure/Key Vault/Key Vault Administration/Creating and Managing Key Vault","1"
"Azure/Key Vault/Key Vault Administration/Key Vault Disaster Recovery (Availability and Redundancy)","1"
"Azure/Key Vault/Managing Access and Networking configuration/Key Vault Access Policies, Security Groups and RBAC","2"
"Azure/Key Vault/Managing Secrets/Unable to retrieve a secret","1"
"Azure/Managed Identities for Azure Resources/User Assigned Managed Identity/Problems with Managed Identity Federated Credentials","1"
"Azure/Microsoft Entra App Integration and Development/App Registrations/Certificates, Secrets and Federated Credentials","2"
"Azure/Microsoft Entra App Integration and Development/App Registrations/Managing API permissions & Admin Consent","1"
"Azure/Microsoft Entra App Integration and Development/Application proxy (all app proxy issues)/Configuring Azure AD Application Proxy apps","1"
"Azure/Microsoft Entra App Integration and Development/Developing apps with Microsoft Graph or any resource/Problem with querying or provisioning resources","1"
"Azure/Microsoft Entra App Integration and Development/Developing or Registering apps with Microsoft identity platform/Acquiring tokens using MSAL or ADAL libraries","2"
"Azure/Microsoft Entra App Integration and Development/Enterprise Applications/Access Management(Users, Groups, Owners, App-Roles and Self-Service)","2"
"Azure/Microsoft Entra App Integration and Development/Enterprise Applications/Managing Admin & User Consent including Admin Consent Workflow in Enterprise Applications","2"
"Azure/Microsoft Entra App Integration and Development/Enterprise Applications/SSO configuration including Claims & URI config","4"
"Azure/Microsoft Entra App Integration and Development/Issues Signing In to Applications/Applications developed by my company","1"
"Azure/Microsoft Entra Directories, Domains, and Objects/Directory Management/Problems deleting a directory","2"
"Azure/Microsoft Entra Directories, Domains, and Objects/Microsoft Entra Roles and Administrators/Problem with assigning group to an Azure AD Role","1"
"Azure/Microsoft Entra External ID/External Identity Providers/Problems signing in via external identity provider","1"
"Azure/Microsoft Entra Governance, Compliance and Reporting/Access reviews/Issues Creating Reviews","1"
"Azure/Microsoft Entra Governance, Compliance and Reporting/Access reviews/Issues with Groups and Apps Reviews","2"
"Azure/Microsoft Entra Governance, Compliance and Reporting/Audit Logs/Problem with a specific audit log entry","1"
"Azure/Microsoft Entra Governance, Compliance and Reporting/Privileged Identity Management/Elevate Access","1"
"Azure/Microsoft Entra Governance, Compliance and Reporting/Sign-In Activity Reports/Problem with a specific sign-in log entry","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Conditional Access/Block Legacy Authentication","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Conditional Access/Configuring new or existing policy settings","2"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Conditional Access/Troubleshooting Device State","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Conditional Access/Troubleshooting resultant set of policy","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Identity Protection/Risk investigation (such as alerts, risks, and reporting)","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Multi-Factor Authentication (MFA)/Authentication methods - Phone, SMS","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Multi-Factor Authentication (MFA)/Plan and manage your MFA deployment","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Multi-Factor Authentication (MFA)/Unable to sign-in to an application due to MFA","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Multi-Factor Authentication (MFA)/Unexpected MFA prompt","1"
"Azure/Microsoft Entra Sign-in and Multifactor Authentication/Pass-through Authentication (Passthrough/PTA)/Pass-through Authentication Agent issues","1"
"Azure/Microsoft Entra User Provisioning and Synchronization/Microsoft Entra Connect Sync/Problem configuring AADConnect","1"
"Azure/Microsoft Entra User Provisioning and Synchronization/Microsoft Entra Connect Sync/Synchronization is running but I see incorrect or unexpected results","1"
"Azure/Microsoft Entra User Provisioning and Synchronization/Provisioning from Microsoft Entra ID to SaaS (Including SCIM) Apps/Problem with the attribute mappings","1"
"Azure/Microsoft Graph Users, Groups, and Entra APIs/Problem with querying or provisioning resources/Gateway Timeout (504)","1"
"Azure/Microsoft Graph Users, Groups, and Entra APIs/Problem with querying or provisioning resources/Query Parameter - $filter","1"
"Azure/Microsoft Graph Users, Groups, and Entra APIs/Problem with using the Graph samples and getting started","1"
"Azure/Microsoft Graph Users, Groups, and Entra APIs/Problem with using the Graph SDK - libraries","1"
"Azure/Role Based Access Control (RBAC) for Azure Resources (IAM)/Problem with RBAC role assignments","2"
